Domain Code,Domain,Recipient Country Code (M49),Recipient Country,Donor Code (M49),Donor,Element Code,Element,Item Code,Item,Purpose Code,Purpose,Year Code,Year,Unit,Value,Flag,Flag Description,Note
"EA","Development Flows to Agriculture","004","Afghanistan","F702","All Donors","6110","Value US$","22040","Commitment","10000","All CRS purposes","2012","2012","million USD","5681.719588","X","Figure from international organizations",""
"EA","Development Flows to Agriculture","004","Afghanistan","F702","All Donors","6110","Value US$","22040","Commitment","10000","All CRS purposes","2022","2022","million USD","3717.146664","X","Figure from international organizations",""
"EA","Development Flows to Agriculture","004","Afghanistan","F702","All Donors","6110","Value US$","22050","Disbursement","10000","All CRS purposes","2012","2012","million USD","6569.616907","X","Figure from international organizations",""
"EA","Development Flows to Agriculture","004","Afghanistan","F702","All Donors","6110","Value US$","22050","Disbursement","10000","All CRS purposes","2022","2022","million USD","4025.129731","X","Figure from international organizations",""
"EA","Development Flows to Agriculture","008","Albania","F702","All Donors","6110","Value US$","22040","Commitment","10000","All CRS purposes","2012","2012","million USD","487.824488","X","Figure from international organizations",""
"EA","Development Flows to Agriculture","008","Albania","F702","All Donors","6110","Value US$","22040","Commitment","10000","All CRS purposes","2022","2022","million USD","781.978768","X","Figure from international organizations",""
"EA","Development Flows to Agriculture","008","Albania","F702","All Donors","6110","Value US$","22050","Disbursement","10000","All CRS purposes","2012","2012","million USD","591.469527","X","Figure from international organizations",""
"EA","Development Flows to Agriculture","008","Albania","F702","All Donors","6110","Value US$","22050","Disbursement","10000","All CRS purposes","2022","2022","million USD","707.125273","X","Figure from international organizations",""
"EA","Development Flows to Agriculture","012","Algeria","F702","All Donors","6110","Value US$","22040","Commitment","10000","All CRS purposes","2012","2012","million USD","297.038708","X","Figure from international organizations",""
"EA","Development Flows to Agriculture","012","Algeria","F702","All Donors","6110","Value US$","22040","Commitment","10000","All CRS purposes","2022","2022","million USD","275.202417","X","Figure from international organizations",""
"EA","Development Flows to Agriculture","012","Algeria","F702","All Donors","6110","Value US$","22050","Disbursement","10000","All CRS purposes","2012","2012","million USD","254.629139","X","Figure from international organizations",""
"EA","Development Flows to Agriculture","012","Algeria","F702","All Donors","6110","Value US$","22050","Disbursement","10000","All CRS purposes","2022","2022","million USD","239.395334","X","Figure from international organizations",""
"EA","Development Flows to Agriculture","024","Angola","F702","All Donors","6110","Value US$","22040","Commitment","10000","All CRS purposes","2012","2012","million USD","262.32506","X","Figure from international organizations",""
"EA","Development Flows to Agriculture","024","Angola","F702","All Donors","6110","Value US$","22040","Commitment","10000","All CRS purposes","2022","2022","million USD","1663.075858","X","Figure from international organizations",""
"EA","Development Flows to Agriculture","024","Angola","F702","All Donors","6110","Value US$","22050","Disbursement","10000","All CRS purposes","2012","2012","million USD","297.225798","X","Figure from international organizations",""
"EA","Development Flows to Agriculture","024","Angola","F702","All Donors","6110","Value US$","22050","Disbursement","10000","All CRS purposes","2022","2022","million USD","1134.106177","X","Figure from international organizations",""
"EA","Development Flows to Agriculture","660","Anguilla","F702","All Donors","6110","Value US$","22040","Commitment","10000","All CRS purposes","2012","2012","million USD","15.588603","X","Figure from international organizations",""
"EA","Development Flows to Agriculture","660","Anguilla","F702","All Donors","6110","Value US$","22050","Disbursement","10000","All CRS purposes","2012","2012","million USD","5.208179","X","Figure from international organizations",""
"EA","Development Flows to Agriculture","028","Antigua and Barbuda","F702","All Donors","6110","Value US$","22040","Commitment","10000","All CRS purposes","2012","2012","million USD","2.559849","X","Figure from international organizations",""
"EA","Development Flows to Agriculture","028","Antigua and Barbuda","F702","All Donors","6110","Value US$","22050","Disbursement","10000","All CRS purposes","2012","2012","million USD","2.110492","X","Figure from international organizations",""
"EA","Development Flows to Agriculture","032","Argentina","F702","All Donors","6110","Value US$","22040","Commitment","10000","All CRS purposes","2012","2012","million USD","1581.664267","X","Figure from international organizations",""
"EA","Development Flows to Agriculture","032","Argentina","F702","All Donors","6110","Value US$","22040","Commitment","10000","All CRS purposes","2022","2022","million USD","5198.639755","X","Figure from international organizations",""
"EA","Development Flows to Agriculture","032","Argentina","F702","All Donors","6110","Value US$","22050","Disbursement","10000","All CRS purposes","2012","2012","million USD","1985.819421","X","Figure from international organizations",""
"EA","Development Flows to Agriculture","032","Argentina","F702","All Donors","6110","Value US$","22050","Disbursement","10000","All CRS purposes","2022","2022","million USD","4683.235502","X","Figure from international organizations",""
"EA","Development Flows to Agriculture","051","Armenia","F702","All Donors","6110","Value US$","22040","Commitment","10000","All CRS purposes","2012","2012","million USD","628.660197","X","Figure from international organizations",""
"EA","Development Flows to Agriculture","051","Armenia","F702","All Donors","6110","Value US$","22040","Commitment","10000","All CRS purposes","2022","2022","million USD","641.103427","X","Figure from international organizations",""
"EA","Development Flows to Agriculture","051","Armenia","F702","All Donors","6110","Value US$","22050","Disbursement","10000","All CRS purposes","2012","2012","million USD","496.324524","X","Figure from international organizations",""
