Domain Code,Domain,Area Code (M49),Area,Element Code,Element,Item Code,Item,Year Code,Year,Unit,Value,Flag,Flag Description,Note
"FS","Suite of Food Security Indicators","004","Afghanistan","6128","Value","21056","Minimum dietary energy requirement  (kcal/cap/day)","2017","2017","kcal/cap/d","1650","E","Estimated value",""
"FS","Suite of Food Security Indicators","004","Afghanistan","6128","Value","21056","Minimum dietary energy requirement  (kcal/cap/day)","2018","2018","kcal/cap/d","1652","E","Estimated value",""
"FS","Suite of Food Security Indicators","004","Afghanistan","6128","Value","21056","Minimum dietary energy requirement  (kcal/cap/day)","2019","2019","kcal/cap/d","1656","E","Estimated value",""
"FS","Suite of Food Security Indicators","004","Afghanistan","6128","Value","21056","Minimum dietary energy requirement  (kcal/cap/day)","2020","2020","kcal/cap/d","1659","E","Estimated value",""
"FS","Suite of Food Security Indicators","004","Afghanistan","6128","Value","21056","Minimum dietary energy requirement  (kcal/cap/day)","2021","2021","kcal/cap/d","1662","E","Estimated value",""
"FS","Suite of Food Security Indicators","004","Afghanistan","6128","Value","21056","Minimum dietary energy requirement  (kcal/cap/day)","2022","2022","kcal/cap/d","1664","E","Estimated value",""
"FS","Suite of Food Security Indicators","008","Albania","6128","Value","21056","Minimum dietary energy requirement  (kcal/cap/day)","2017","2017","kcal/cap/d","1915","E","Estimated value",""
"FS","Suite of Food Security Indicators","008","Albania","6128","Value","21056","Minimum dietary energy requirement  (kcal/cap/day)","2018","2018","kcal/cap/d","1915","E","Estimated value",""
"FS","Suite of Food Security Indicators","008","Albania","6128","Value","21056","Minimum dietary energy requirement  (kcal/cap/day)","2019","2019","kcal/cap/d","1915","E","Estimated value",""
"FS","Suite of Food Security Indicators","008","Albania","6128","Value","21056","Minimum dietary energy requirement  (kcal/cap/day)","2020","2020","kcal/cap/d","1915","E","Estimated value",""
"FS","Suite of Food Security Indicators","008","Albania","6128","Value","21056","Minimum dietary energy requirement  (kcal/cap/day)","2021","2021","kcal/cap/d","1915","E","Estimated value",""
"FS","Suite of Food Security Indicators","008","Albania","6128","Value","21056","Minimum dietary energy requirement  (kcal/cap/day)","2022","2022","kcal/cap/d","1916","E","Estimated value",""
"FS","Suite of Food Security Indicators","012","Algeria","6128","Value","21056","Minimum dietary energy requirement  (kcal/cap/day)","2017","2017","kcal/cap/d","1787","E","Estimated value",""
"FS","Suite of Food Security Indicators","012","Algeria","6128","Value","21056","Minimum dietary energy requirement  (kcal/cap/day)","2018","2018","kcal/cap/d","1785","E","Estimated value",""
"FS","Suite of Food Security Indicators","012","Algeria","6128","Value","21056","Minimum dietary energy requirement  (kcal/cap/day)","2019","2019","kcal/cap/d","1784","E","Estimated value",""
"FS","Suite of Food Security Indicators","012","Algeria","6128","Value","21056","Minimum dietary energy requirement  (kcal/cap/day)","2020","2020","kcal/cap/d","1784","E","Estimated value",""
"FS","Suite of Food Security Indicators","012","Algeria","6128","Value","21056","Minimum dietary energy requirement  (kcal/cap/day)","2021","2021","kcal/cap/d","1785","E","Estimated value",""
"FS","Suite of Food Security Indicators","012","Algeria","6128","Value","21056","Minimum dietary energy requirement  (kcal/cap/day)","2022","2022","kcal/cap/d","1787","E","Estimated value",""
"FS","Suite of Food Security Indicators","024","Angola","6128","Value","21056","Minimum dietary energy requirement  (kcal/cap/day)","2017","2017","kcal/cap/d","1662","E","Estimated value",""
"FS","Suite of Food Security Indicators","024","Angola","6128","Value","21056","Minimum dietary energy requirement  (kcal/cap/day)","2018","2018","kcal/cap/d","1664","E","Estimated value",""
"FS","Suite of Food Security Indicators","024","Angola","6128","Value","21056","Minimum dietary energy requirement  (kcal/cap/day)","2019","2019","kcal/cap/d","1666","E","Estimated value",""
"FS","Suite of Food Security Indicators","024","Angola","6128","Value","21056","Minimum dietary energy requirement  (kcal/cap/day)","2020","2020","kcal/cap/d","1668","E","Estimated value",""
"FS","Suite of Food Security Indicators","024","Angola","6128","Value","21056","Minimum dietary energy requirement  (kcal/cap/day)","2021","2021","kcal/cap/d","1669","E","Estimated value",""
"FS","Suite of Food Security Indicators","024","Angola","6128","Value","21056","Minimum dietary energy requirement  (kcal/cap/day)","2022","2022","kcal/cap/d","1672","E","Estimated value",""
"FS","Suite of Food Security Indicators","028","Antigua and Barbuda","6128","Value","21056","Minimum dietary energy requirement  (kcal/cap/day)","2017","2017","kcal/cap/d","1907","E","Estimated value",""
"FS","Suite of Food Security Indicators","028","Antigua and Barbuda","6128","Value","21056","Minimum dietary energy requirement  (kcal/cap/day)","2018","2018","kcal/cap/d","1905","E","Estimated value",""
"FS","Suite of Food Security Indicators","028","Antigua and Barbuda","6128","Value","21056","Minimum dietary energy requirement  (kcal/cap/day)","2019","2019","kcal/cap/d","1908","E","Estimated value",""
"FS","Suite of Food Security Indicators","028","Antigua and Barbuda","6128","Value","21056","Minimum dietary energy requirement  (kcal/cap/day)","2020","2020","kcal/cap/d","1910","E","Estimated value",""
"FS","Suite of Food Security Indicators","028","Antigua and Barbuda","6128","Value","21056","Minimum dietary energy requirement  (kcal/cap/day)","2021","2021","kcal/cap/d","1908","E","Estimated value",""
"FS","Suite of Food Security Indicators","028","Antigua and Barbuda","6128","Value","21056","Minimum dietary energy requirement  (kcal/cap/day)","2022","2022","kcal/cap/d","1910","E","Estimated value",""
"FS","Suite of Food Security Indicators","032","Argentina","6128","Value","21056","Minimum dietary energy requirement  (kcal/cap/day)","2017","2017","kcal/cap/d","1870","E","Estimated value",""
"FS","Suite of Food Security Indicators","032","Argentina","6128","Value","21056","Minimum dietary energy requirement  (kcal/cap/day)","2018","2018","kcal/cap/d","1872","E","Estimated value",""
"FS","Suite of Food Security Indicators","032","Argentina","6128","Value","21056","Minimum dietary energy requirement  (kcal/cap/day)","2019","2019","kcal/cap/d","1874","E","Estimated value",""
"FS","Suite of Food Security Indicators","032","Argentina","6128","Value","21056","Minimum dietary energy requirement  (kcal/cap/day)","2020","2020","kcal/cap/d","1877","E","Estimated value",""
"FS","Suite of Food Security Indicators","032","Argentina","6128","Value","21056","Minimum dietary energy requirement  (kcal/cap/day)","2021","2021","kcal/cap/d","1881","E","Estimated value",""
"FS","Suite of Food Security Indicators","032","Argentina","6128","Value","21056","Minimum dietary energy requirement  (kcal/cap/day)","2022","2022","kcal/cap/d","1884","E","Estimated value",""
"FS","Suite of Food Security Indicators","051","Armenia","6128","Value","21056","Minimum dietary energy requirement  (kcal/cap/day)","2017","2017","kcal/cap/d","1877","E","Estimated value",""
"FS","Suite of Food Security Indicators","051","Armenia","6128","Value","21056","Minimum dietary energy requirement  (kcal/cap/day)","2018","2018","kcal/cap/d","1874","E","Estimated value",""
"FS","Suite of Food Security Indicators","051","Armenia","6128","Value","21056","Minimum dietary energy requirement  (kcal/cap/day)","2019","2019","kcal/cap/d","1873","E","Estimated value",""
"FS","Suite of Food Security Indicators","051","Armenia","6128","Value","21056","Minimum dietary energy requirement  (kcal/cap/day)","2020","2020","kcal/cap/d","1872","E","Estimated value",""
"FS","Suite of Food Security Indicators","051","Armenia","6128","Value","21056","Minimum dietary energy requirement  (kcal/cap/day)","2021","2021","kcal/cap/d","1873","E","Estimated value",""
"FS","Suite of Food Security Indicators","051","Armenia","6128","Value","21056","Minimum dietary energy requirement  (kcal/cap/day)","2022","2022","kcal/cap/d","1872","E","Estimated value",""
"FS","Suite of Food Security Indicators","036","Australia","6128","Value","21056","Minimum dietary energy requirement  (kcal/cap/day)","2017","2017","kcal/cap/d","1918","E","Estimated value",""
"FS","Suite of Food Security Indicators","036","Australia","6128","Value","21056","Minimum dietary energy requirement  (kcal/cap/day)","2018","2018","kcal/cap/d","1919","E","Estimated value",""
"FS","Suite of Food Security Indicators","036","Australia","6128","Value","21056","Minimum dietary energy requirement  (kcal/cap/day)","2019","2019","kcal/cap/d","1919","E","Estimated value",""
"FS","Suite of Food Security Indicators","036","Australia","6128","Value","21056","Minimum dietary energy requirement  (kcal/cap/day)","2020","2020","kcal/cap/d","1920","E","Estimated value",""
"FS","Suite of Food Security Indicators","036","Australia","6128","Value","21056","Minimum dietary energy requirement  (kcal/cap/day)","2021","2021","kcal/cap/d","1921","E","Estimated value",""
"FS","Suite of Food Security Indicators","036","Australia","6128","Value","21056","Minimum dietary energy requirement  (kcal/cap/day)","2022","2022","kcal/cap/d","1922","E","Estimated value",""
"FS","Suite of Food Security Indicators","040","Austria","6128","Value","21056","Minimum dietary energy requirement  (kcal/cap/day)","2017","2017","kcal/cap/d","1954","E","Estimated value",""
"FS","Suite of Food Security Indicators","040","Austria","6128","Value","21056","Minimum dietary energy requirement  (kcal/cap/day)","2018","2018","kcal/cap/d","1953","E","Estimated value",""
"FS","Suite of Food Security Indicators","040","Austria","6128","Value","21056","Minimum dietary energy requirement  (kcal/cap/day)","2019","2019","kcal/cap/d","1951","E","Estimated value",""
"FS","Suite of Food Security Indicators","040","Austria","6128","Value","21056","Minimum dietary energy requirement  (kcal/cap/day)","2020","2020","kcal/cap/d","1950","E","Estimated value",""
"FS","Suite of Food Security Indicators","040","Austria","6128","Value","21056","Minimum dietary energy requirement  (kcal/cap/day)","2021","2021","kcal/cap/d","1949","E","Estimated value",""
"FS","Suite of Food Security Indicators","040","Austria","6128","Value","21056","Minimum dietary energy requirement  (kcal/cap/day)","2022","2022","kcal/cap/d","1948","E","Estimated value",""
"FS","Suite of Food Security Indicators","031","Azerbaijan","6128","Value","21056","Minimum dietary energy requirement  (kcal/cap/day)","2017","2017","kcal/cap/d","1859","E","Estimated value",""
"FS","Suite of Food Security Indicators","031","Azerbaijan","6128","Value","21056","Minimum dietary energy requirement  (kcal/cap/day)","2018","2018","kcal/cap/d","1862","E","Estimated value",""
"FS","Suite of Food Security Indicators","031","Azerbaijan","6128","Value","21056","Minimum dietary energy requirement  (kcal/cap/day)","2019","2019","kcal/cap/d","1865","E","Estimated value",""
"FS","Suite of Food Security Indicators","031","Azerbaijan","6128","Value","21056","Minimum dietary energy requirement  (kcal/cap/day)","2020","2020","kcal/cap/d","1868","E","Estimated value",""
"FS","Suite of Food Security Indicators","031","Azerbaijan","6128","Value","21056","Minimum dietary energy requirement  (kcal/cap/day)","2021","2021","kcal/cap/d","1873","E","Estimated value",""
"FS","Suite of Food Security Indicators","031","Azerbaijan","6128","Value","21056","Minimum dietary energy requirement  (kcal/cap/day)","2022","2022","kcal/cap/d","1877","E","Estimated value",""
"FS","Suite of Food Security Indicators","044","Bahamas","6128","Value","21056","Minimum dietary energy requirement  (kcal/cap/day)","2017","2017","kcal/cap/d","1916","E","Estimated value",""
"FS","Suite of Food Security Indicators","044","Bahamas","6128","Value","21056","Minimum dietary energy requirement  (kcal/cap/day)","2018","2018","kcal/cap/d","1920","E","Estimated value",""
"FS","Suite of Food Security Indicators","044","Bahamas","6128","Value","21056","Minimum dietary energy requirement  (kcal/cap/day)","2019","2019","kcal/cap/d","1921","E","Estimated value",""
"FS","Suite of Food Security Indicators","044","Bahamas","6128","Value","21056","Minimum dietary energy requirement  (kcal/cap/day)","2020","2020","kcal/cap/d","1925","E","Estimated value",""
"FS","Suite of Food Security Indicators","044","Bahamas","6128","Value","21056","Minimum dietary energy requirement  (kcal/cap/day)","2021","2021","kcal/cap/d","1927","E","Estimated value",""
"FS","Suite of Food Security Indicators","044","Bahamas","6128","Value","21056","Minimum dietary energy requirement  (kcal/cap/day)","2022","2022","kcal/cap/d","1931","E","Estimated value",""
"FS","Suite of Food Security Indicators","048","Bahrain","6128","Value","21056","Minimum dietary energy requirement  (kcal/cap/day)","2017","2017","kcal/cap/d","1939","E","Estimated value",""
"FS","Suite of Food Security Indicators","048","Bahrain","6128","Value","21056","Minimum dietary energy requirement  (kcal/cap/day)","2018","2018","kcal/cap/d","1940","E","Estimated value",""
"FS","Suite of Food Security Indicators","048","Bahrain","6128","Value","21056","Minimum dietary energy requirement  (kcal/cap/day)","2019","2019","kcal/cap/d","1938","E","Estimated value",""
"FS","Suite of Food Security Indicators","048","Bahrain","6128","Value","21056","Minimum dietary energy requirement  (kcal/cap/day)","2020","2020","kcal/cap/d","1935","E","Estimated value",""
"FS","Suite of Food Security Indicators","048","Bahrain","6128","Value","21056","Minimum dietary energy requirement  (kcal/cap/day)","2021","2021","kcal/cap/d","1933","E","Estimated value",""
"FS","Suite of Food Security Indicators","048","Bahrain","6128","Value","21056","Minimum dietary energy requirement  (kcal/cap/day)","2022","2022","kcal/cap/d","1934","E","Estimated value",""
"FS","Suite of Food Security Indicators","050","Bangladesh","6128","Value","21056","Minimum dietary energy requirement  (kcal/cap/day)","2017","2017","kcal/cap/d","1774","E","Estimated value",""
"FS","Suite of Food Security Indicators","050","Bangladesh","6128","Value","21056","Minimum dietary energy requirement  (kcal/cap/day)","2018","2018","kcal/cap/d","1780","E","Estimated value",""
"FS","Suite of Food Security Indicators","050","Bangladesh","6128","Value","21056","Minimum dietary energy requirement  (kcal/cap/day)","2019","2019","kcal/cap/d","1783","E","Estimated value",""
"FS","Suite of Food Security Indicators","050","Bangladesh","6128","Value","21056","Minimum dietary energy requirement  (kcal/cap/day)","2020","2020","kcal/cap/d","1786","E","Estimated value",""
"FS","Suite of Food Security Indicators","050","Bangladesh","6128","Value","21056","Minimum dietary energy requirement  (kcal/cap/day)","2021","2021","kcal/cap/d","1788","E","Estimated value",""
"FS","Suite of Food Security Indicators","050","Bangladesh","6128","Value","21056","Minimum dietary energy requirement  (kcal/cap/day)","2022","2022","kcal/cap/d","1790","E","Estimated value",""
"FS","Suite of Food Security Indicators","052","Barbados","6128","Value","21056","Minimum dietary energy requirement  (kcal/cap/day)","2017","2017","kcal/cap/d","1908","E","Estimated value",""
"FS","Suite of Food Security Indicators","052","Barbados","6128","Value","21056","Minimum dietary energy requirement  (kcal/cap/day)","2018","2018","kcal/cap/d","1911","E","Estimated value",""
"FS","Suite of Food Security Indicators","052","Barbados","6128","Value","21056","Minimum dietary energy requirement  (kcal/cap/day)","2019","2019","kcal/cap/d","1913","E","Estimated value",""
"FS","Suite of Food Security Indicators","052","Barbados","6128","Value","21056","Minimum dietary energy requirement  (kcal/cap/day)","2020","2020","kcal/cap/d","1915","E","Estimated value",""
"FS","Suite of Food Security Indicators","052","Barbados","6128","Value","21056","Minimum dietary energy requirement  (kcal/cap/day)","2021","2021","kcal/cap/d","1917","E","Estimated value",""
"FS","Suite of Food Security Indicators","052","Barbados","6128","Value","21056","Minimum dietary energy requirement  (kcal/cap/day)","2022","2022","kcal/cap/d","1920","E","Estimated value",""
"FS","Suite of Food Security Indicators","112","Belarus","6128","Value","21056","Minimum dietary energy requirement  (kcal/cap/day)","2017","2017","kcal/cap/d","1897","E","Estimated value",""
"FS","Suite of Food Security Indicators","112","Belarus","6128","Value","21056","Minimum dietary energy requirement  (kcal/cap/day)","2018","2018","kcal/cap/d","1897","E","Estimated value",""
"FS","Suite of Food Security Indicators","112","Belarus","6128","Value","21056","Minimum dietary energy requirement  (kcal/cap/day)","2019","2019","kcal/cap/d","1897","E","Estimated value",""
"FS","Suite of Food Security Indicators","112","Belarus","6128","Value","21056","Minimum dietary energy requirement  (kcal/cap/day)","2020","2020","kcal/cap/d","1897","E","Estimated value",""
"FS","Suite of Food Security Indicators","112","Belarus","6128","Value","21056","Minimum dietary energy requirement  (kcal/cap/day)","2021","2021","kcal/cap/d","1898","E","Estimated value",""
"FS","Suite of Food Security Indicators","112","Belarus","6128","Value","21056","Minimum dietary energy requirement  (kcal/cap/day)","2022","2022","kcal/cap/d","1899","E","Estimated value",""
"FS","Suite of Food Security Indicators","056","Belgium","6128","Value","21056","Minimum dietary energy requirement  (kcal/cap/day)","2017","2017","kcal/cap/d","1954","E","Estimated value",""
"FS","Suite of Food Security Indicators","056","Belgium","6128","Value","21056","Minimum dietary energy requirement  (kcal/cap/day)","2018","2018","kcal/cap/d","1954","E","Estimated value",""
"FS","Suite of Food Security Indicators","056","Belgium","6128","Value","21056","Minimum dietary energy requirement  (kcal/cap/day)","2019","2019","kcal/cap/d","1955","E","Estimated value",""
"FS","Suite of Food Security Indicators","056","Belgium","6128","Value","21056","Minimum dietary energy requirement  (kcal/cap/day)","2020","2020","kcal/cap/d","1955","E","Estimated value",""
"FS","Suite of Food Security Indicators","056","Belgium","6128","Value","21056","Minimum dietary energy requirement  (kcal/cap/day)","2021","2021","kcal/cap/d","1956","E","Estimated value",""
"FS","Suite of Food Security Indicators","056","Belgium","6128","Value","21056","Minimum dietary energy requirement  (kcal/cap/day)","2022","2022","kcal/cap/d","1956","E","Estimated value",""
"FS","Suite of Food Security Indicators","084","Belize","6128","Value","21056","Minimum dietary energy requirement  (kcal/cap/day)","2017","2017","kcal/cap/d","1763","E","Estimated value",""
"FS","Suite of Food Security Indicators","084","Belize","6128","Value","21056","Minimum dietary energy requirement  (kcal/cap/day)","2018","2018","kcal/cap/d","1767","E","Estimated value",""
"FS","Suite of Food Security Indicators","084","Belize","6128","Value","21056","Minimum dietary energy requirement  (kcal/cap/day)","2019","2019","kcal/cap/d","1771","E","Estimated value",""
"FS","Suite of Food Security Indicators","084","Belize","6128","Value","21056","Minimum dietary energy requirement  (kcal/cap/day)","2020","2020","kcal/cap/d","1776","E","Estimated value",""
"FS","Suite of Food Security Indicators","084","Belize","6128","Value","21056","Minimum dietary energy requirement  (kcal/cap/day)","2021","2021","kcal/cap/d","1782","E","Estimated value",""
"FS","Suite of Food Security Indicators","084","Belize","6128","Value","21056","Minimum dietary energy requirement  (kcal/cap/day)","2022","2022","kcal/cap/d","1787","E","Estimated value",""
"FS","Suite of Food Security Indicators","204","Benin","6128","Value","21056","Minimum dietary energy requirement  (kcal/cap/day)","2017","2017","kcal/cap/d","1713","E","Estimated value",""
"FS","Suite of Food Security Indicators","204","Benin","6128","Value","21056","Minimum dietary energy requirement  (kcal/cap/day)","2018","2018","kcal/cap/d","1714","E","Estimated value",""
"FS","Suite of Food Security Indicators","204","Benin","6128","Value","21056","Minimum dietary energy requirement  (kcal/cap/day)","2019","2019","kcal/cap/d","1715","E","Estimated value",""
"FS","Suite of Food Security Indicators","204","Benin","6128","Value","21056","Minimum dietary energy requirement  (kcal/cap/day)","2020","2020","kcal/cap/d","1717","E","Estimated value",""
"FS","Suite of Food Security Indicators","204","Benin","6128","Value","21056","Minimum dietary energy requirement  (kcal/cap/day)","2021","2021","kcal/cap/d","1718","E","Estimated value",""
"FS","Suite of Food Security Indicators","204","Benin","6128","Value","21056","Minimum dietary energy requirement  (kcal/cap/day)","2022","2022","kcal/cap/d","1720","E","Estimated value",""
"FS","Suite of Food Security Indicators","060","Bermuda","6128","Value","21056","Minimum dietary energy requirement  (kcal/cap/day)","2017","2017","kcal/cap/d","2131","E","Estimated value",""
"FS","Suite of Food Security Indicators","060","Bermuda","6128","Value","21056","Minimum dietary energy requirement  (kcal/cap/day)","2018","2018","kcal/cap/d","2121","E","Estimated value",""
"FS","Suite of Food Security Indicators","060","Bermuda","6128","Value","21056","Minimum dietary energy requirement  (kcal/cap/day)","2019","2019","kcal/cap/d","2093","E","Estimated value",""
"FS","Suite of Food Security Indicators","060","Bermuda","6128","Value","21056","Minimum dietary energy requirement  (kcal/cap/day)","2020","2020","kcal/cap/d","2065","E","Estimated value",""
"FS","Suite of Food Security Indicators","060","Bermuda","6128","Value","21056","Minimum dietary energy requirement  (kcal/cap/day)","2021","2021","kcal/cap/d","2042","E","Estimated value",""
"FS","Suite of Food Security Indicators","060","Bermuda","6128","Value","21056","Minimum dietary energy requirement  (kcal/cap/day)","2022","2022","kcal/cap/d","2013","E","Estimated value",""
"FS","Suite of Food Security Indicators","064","Bhutan","6128","Value","21056","Minimum dietary energy requirement  (kcal/cap/day)","2017","2017","kcal/cap/d","1814","E","Estimated value",""
"FS","Suite of Food Security Indicators","064","Bhutan","6128","Value","21056","Minimum dietary energy requirement  (kcal/cap/day)","2018","2018","kcal/cap/d","1821","E","Estimated value",""
"FS","Suite of Food Security Indicators","064","Bhutan","6128","Value","21056","Minimum dietary energy requirement  (kcal/cap/day)","2019","2019","kcal/cap/d","1827","E","Estimated value",""
"FS","Suite of Food Security Indicators","064","Bhutan","6128","Value","21056","Minimum dietary energy requirement  (kcal/cap/day)","2020","2020","kcal/cap/d","1833","E","Estimated value",""
"FS","Suite of Food Security Indicators","064","Bhutan","6128","Value","21056","Minimum dietary energy requirement  (kcal/cap/day)","2021","2021","kcal/cap/d","1837","E","Estimated value",""
"FS","Suite of Food Security Indicators","064","Bhutan","6128","Value","21056","Minimum dietary energy requirement  (kcal/cap/day)","2022","2022","kcal/cap/d","1841","E","Estimated value",""
"FS","Suite of Food Security Indicators","068","Bolivia (Plurinational State of)","6128","Value","21056","Minimum dietary energy requirement  (kcal/cap/day)","2017","2017","kcal/cap/d","1754","E","Estimated value",""
