Domain Code,Domain,Area Code (M49),Area,Element Code,Element,Item Code,Item,Year Code,Year,Unit,Value,Flag,Flag Description,Note
"FS","Suite of Food Security Indicators","008","Albania","6126","Value","22013","Gross domestic product per capita, PPP, (constant 2017 international $)","2022","2022","Int$/cap","17261","X","Figure from international organizations",""
"FS","Suite of Food Security Indicators","012","Algeria","6126","Value","22013","Gross domestic product per capita, PPP, (constant 2017 international $)","2022","2022","Int$/cap","13090.9","X","Figure from international organizations",""
"FS","Suite of Food Security Indicators","020","Andorra","6126","Value","22013","Gross domestic product per capita, PPP, (constant 2017 international $)","2022","2022","Int$/cap","63379","X","Figure from international organizations",""
"FS","Suite of Food Security Indicators","024","Angola","6126","Value","22013","Gross domestic product per capita, PPP, (constant 2017 international $)","2022","2022","Int$/cap","7407.1","X","Figure from international organizations",""
"FS","Suite of Food Security Indicators","028","Antigua and Barbuda","6126","Value","22013","Gross domestic product per capita, PPP, (constant 2017 international $)","2022","2022","Int$/cap","27757.2","X","Figure from international organizations",""
"FS","Suite of Food Security Indicators","032","Argentina","6126","Value","22013","Gross domestic product per capita, PPP, (constant 2017 international $)","2022","2022","Int$/cap","27127.4","X","Figure from international organizations",""
"FS","Suite of Food Security Indicators","051","Armenia","6126","Value","22013","Gross domestic product per capita, PPP, (constant 2017 international $)","2022","2022","Int$/cap","19100.2","X","Figure from international organizations",""
"FS","Suite of Food Security Indicators","036","Australia","6126","Value","22013","Gross domestic product per capita, PPP, (constant 2017 international $)","2022","2022","Int$/cap","59120","X","Figure from international organizations",""
"FS","Suite of Food Security Indicators","040","Austria","6126","Value","22013","Gross domestic product per capita, PPP, (constant 2017 international $)","2022","2022","Int$/cap","65836.9","X","Figure from international organizations",""
"FS","Suite of Food Security Indicators","031","Azerbaijan","6126","Value","22013","Gross domestic product per capita, PPP, (constant 2017 international $)","2022","2022","Int$/cap","21031.5","X","Figure from international organizations",""
"FS","Suite of Food Security Indicators","044","Bahamas","6126","Value","22013","Gross domestic product per capita, PPP, (constant 2017 international $)","2022","2022","Int$/cap","32895","X","Figure from international organizations",""
"FS","Suite of Food Security Indicators","048","Bahrain","6126","Value","22013","Gross domestic product per capita, PPP, (constant 2017 international $)","2022","2022","Int$/cap","56646.6","X","Figure from international organizations",""
"FS","Suite of Food Security Indicators","050","Bangladesh","6126","Value","22013","Gross domestic product per capita, PPP, (constant 2017 international $)","2022","2022","Int$/cap","7805.2","X","Figure from international organizations",""
"FS","Suite of Food Security Indicators","052","Barbados","6126","Value","22013","Gross domestic product per capita, PPP, (constant 2017 international $)","2022","2022","Int$/cap","16325.5","X","Figure from international organizations",""
"FS","Suite of Food Security Indicators","112","Belarus","6126","Value","22013","Gross domestic product per capita, PPP, (constant 2017 international $)","2022","2022","Int$/cap","26526.6","X","Figure from international organizations",""
"FS","Suite of Food Security Indicators","056","Belgium","6126","Value","22013","Gross domestic product per capita, PPP, (constant 2017 international $)","2022","2022","Int$/cap","63431","X","Figure from international organizations",""
"FS","Suite of Food Security Indicators","084","Belize","6126","Value","22013","Gross domestic product per capita, PPP, (constant 2017 international $)","2022","2022","Int$/cap","12407","X","Figure from international organizations",""
"FS","Suite of Food Security Indicators","204","Benin","6126","Value","22013","Gross domestic product per capita, PPP, (constant 2017 international $)","2022","2022","Int$/cap","3697.6","X","Figure from international organizations",""
"FS","Suite of Food Security Indicators","060","Bermuda","6126","Value","22013","Gross domestic product per capita, PPP, (constant 2017 international $)","2022","2022","Int$/cap","94531.3","X","Figure from international organizations",""
"FS","Suite of Food Security Indicators","068","Bolivia (Plurinational State of)","6126","Value","22013","Gross domestic product per capita, PPP, (constant 2017 international $)","2022","2022","Int$/cap","9565.3","X","Figure from international organizations",""
"FS","Suite of Food Security Indicators","070","Bosnia and Herzegovina","6126","Value","22013","Gross domestic product per capita, PPP, (constant 2017 international $)","2022","2022","Int$/cap","19355.7","X","Figure from international organizations",""
"FS","Suite of Food Security Indicators","072","Botswana","6126","Value","22013","Gross domestic product per capita, PPP, (constant 2017 international $)","2022","2022","Int$/cap","17334.9","X","Figure from international organizations",""
"FS","Suite of Food Security Indicators","076","Brazil","6126","Value","22013","Gross domestic product per capita, PPP, (constant 2017 international $)","2022","2022","Int$/cap","17874.3","X","Figure from international organizations",""
"FS","Suite of Food Security Indicators","096","Brunei Darussalam","6126","Value","22013","Gross domestic product per capita, PPP, (constant 2017 international $)","2022","2022","Int$/cap","77440.8","X","Figure from international organizations",""
"FS","Suite of Food Security Indicators","100","Bulgaria","6126","Value","22013","Gross domestic product per capita, PPP, (constant 2017 international $)","2022","2022","Int$/cap","32511.8","X","Figure from international organizations",""
"FS","Suite of Food Security Indicators","854","Burkina Faso","6126","Value","22013","Gross domestic product per capita, PPP, (constant 2017 international $)","2022","2022","Int$/cap","2448.1","X","Figure from international organizations",""
"FS","Suite of Food Security Indicators","108","Burundi","6126","Value","22013","Gross domestic product per capita, PPP, (constant 2017 international $)","2022","2022","Int$/cap","857.2","X","Figure from international organizations",""
"FS","Suite of Food Security Indicators","132","Cabo Verde","6126","Value","22013","Gross domestic product per capita, PPP, (constant 2017 international $)","2022","2022","Int$/cap","7633.8","X","Figure from international organizations",""
"FS","Suite of Food Security Indicators","116","Cambodia","6126","Value","22013","Gross domestic product per capita, PPP, (constant 2017 international $)","2022","2022","Int$/cap","4860.5","X","Figure from international organizations",""
"FS","Suite of Food Security Indicators","120","Cameroon","6126","Value","22013","Gross domestic product per capita, PPP, (constant 2017 international $)","2022","2022","Int$/cap","4785.7","X","Figure from international organizations",""
"FS","Suite of Food Security Indicators","124","Canada","6126","Value","22013","Gross domestic product per capita, PPP, (constant 2017 international $)","2022","2022","Int$/cap","56716.4","X","Figure from international organizations",""
"FS","Suite of Food Security Indicators","140","Central African Republic","6126","Value","22013","Gross domestic product per capita, PPP, (constant 2017 international $)","2022","2022","Int$/cap","1039.3","X","Figure from international organizations",""
"FS","Suite of Food Security Indicators","148","Chad","6126","Value","22013","Gross domestic product per capita, PPP, (constant 2017 international $)","2022","2022","Int$/cap","1748.5","X","Figure from international organizations",""
"FS","Suite of Food Security Indicators","152","Chile","6126","Value","22013","Gross domestic product per capita, PPP, (constant 2017 international $)","2022","2022","Int$/cap","29691.2","X","Figure from international organizations",""
"FS","Suite of Food Security Indicators","159","China","6126","Value","22013","Gross domestic product per capita, PPP, (constant 2017 international $)","2022","2022","Int$/cap","21262.3","X","Figure from international organizations",""
"FS","Suite of Food Security Indicators","344","China, Hong Kong SAR","6126","Value","22013","Gross domestic product per capita, PPP, (constant 2017 international $)","2022","2022","Int$/cap","64166.7","X","Figure from international organizations",""
"FS","Suite of Food Security Indicators","446","China, Macao SAR","6126","Value","22013","Gross domestic product per capita, PPP, (constant 2017 international $)","2022","2022","Int$/cap","57203.4","X","Figure from international organizations",""
"FS","Suite of Food Security Indicators","156","China, mainland","6126","Value","22013","Gross domestic product per capita, PPP, (constant 2017 international $)","2022","2022","Int$/cap","21019.5","X","Figure from international organizations",""
"FS","Suite of Food Security Indicators","170","Colombia","6126","Value","22013","Gross domestic product per capita, PPP, (constant 2017 international $)","2022","2022","Int$/cap","18732.7","X","Figure from international organizations",""
"FS","Suite of Food Security Indicators","174","Comoros","6126","Value","22013","Gross domestic product per capita, PPP, (constant 2017 international $)","2022","2022","Int$/cap","3445.1","X","Figure from international organizations",""
"FS","Suite of Food Security Indicators","178","Congo","6126","Value","22013","Gross domestic product per capita, PPP, (constant 2017 international $)","2022","2022","Int$/cap","6272.3","X","Figure from international organizations",""
"FS","Suite of Food Security Indicators","188","Costa Rica","6126","Value","22013","Gross domestic product per capita, PPP, (constant 2017 international $)","2022","2022","Int$/cap","24650.5","X","Figure from international organizations",""
"FS","Suite of Food Security Indicators","384","Côte d'Ivoire","6126","Value","22013","Gross domestic product per capita, PPP, (constant 2017 international $)","2022","2022","Int$/cap","6699.9","X","Figure from international organizations",""
"FS","Suite of Food Security Indicators","191","Croatia","6126","Value","22013","Gross domestic product per capita, PPP, (constant 2017 international $)","2022","2022","Int$/cap","39538.5","X","Figure from international organizations",""
"FS","Suite of Food Security Indicators","196","Cyprus","6126","Value","22013","Gross domestic product per capita, PPP, (constant 2017 international $)","2022","2022","Int$/cap","50232.2","X","Figure from international organizations",""
"FS","Suite of Food Security Indicators","203","Czechia","6126","Value","22013","Gross domestic product per capita, PPP, (constant 2017 international $)","2022","2022","Int$/cap","48784","X","Figure from international organizations",""
"FS","Suite of Food Security Indicators","180","Democratic Republic of the Congo","6126","Value","22013","Gross domestic product per capita, PPP, (constant 2017 international $)","2022","2022","Int$/cap","1432.9","X","Figure from international organizations",""
"FS","Suite of Food Security Indicators","208","Denmark","6126","Value","22013","Gross domestic product per capita, PPP, (constant 2017 international $)","2022","2022","Int$/cap","71224.3","X","Figure from international organizations",""
"FS","Suite of Food Security Indicators","262","Djibouti","6126","Value","22013","Gross domestic product per capita, PPP, (constant 2017 international $)","2022","2022","Int$/cap","6135.8","X","Figure from international organizations",""
"FS","Suite of Food Security Indicators","212","Dominica","6126","Value","22013","Gross domestic product per capita, PPP, (constant 2017 international $)","2022","2022","Int$/cap","15221.4","X","Figure from international organizations",""
"FS","Suite of Food Security Indicators","214","Dominican Republic","6126","Value","22013","Gross domestic product per capita, PPP, (constant 2017 international $)","2022","2022","Int$/cap","22761.3","X","Figure from international organizations",""
"FS","Suite of Food Security Indicators","218","Ecuador","6126","Value","22013","Gross domestic product per capita, PPP, (constant 2017 international $)","2022","2022","Int$/cap","13530.4","X","Figure from international organizations",""
"FS","Suite of Food Security Indicators","818","Egypt","6126","Value","22013","Gross domestic product per capita, PPP, (constant 2017 international $)","2022","2022","Int$/cap","16600.4","X","Figure from international organizations",""
"FS","Suite of Food Security Indicators","222","El Salvador","6126","Value","22013","Gross domestic product per capita, PPP, (constant 2017 international $)","2022","2022","Int$/cap","11103.5","X","Figure from international organizations",""
"FS","Suite of Food Security Indicators","226","Equatorial Guinea","6126","Value","22013","Gross domestic product per capita, PPP, (constant 2017 international $)","2022","2022","Int$/cap","18165.2","X","Figure from international organizations",""
"FS","Suite of Food Security Indicators","233","Estonia","6126","Value","22013","Gross domestic product per capita, PPP, (constant 2017 international $)","2022","2022","Int$/cap","43877","X","Figure from international organizations",""
"FS","Suite of Food Security Indicators","748","Eswatini","6126","Value","22013","Gross domestic product per capita, PPP, (constant 2017 international $)","2022","2022","Int$/cap","10170.9","X","Figure from international organizations",""
"FS","Suite of Food Security Indicators","231","Ethiopia","6126","Value","22013","Gross domestic product per capita, PPP, (constant 2017 international $)","2022","2022","Int$/cap","2698.6","X","Figure from international organizations",""
"FS","Suite of Food Security Indicators","242","Fiji","6126","Value","22013","Gross domestic product per capita, PPP, (constant 2017 international $)","2022","2022","Int$/cap","12643.9","X","Figure from international organizations",""
"FS","Suite of Food Security Indicators","246","Finland","6126","Value","22013","Gross domestic product per capita, PPP, (constant 2017 international $)","2022","2022","Int$/cap","58634.4","X","Figure from international organizations",""
"FS","Suite of Food Security Indicators","250","France","6126","Value","22013","Gross domestic product per capita, PPP, (constant 2017 international $)","2022","2022","Int$/cap","54988.3","X","Figure from international organizations",""
"FS","Suite of Food Security Indicators","266","Gabon","6126","Value","22013","Gross domestic product per capita, PPP, (constant 2017 international $)","2022","2022","Int$/cap","19718.3","X","Figure from international organizations",""
"FS","Suite of Food Security Indicators","270","Gambia","6126","Value","22013","Gross domestic product per capita, PPP, (constant 2017 international $)","2022","2022","Int$/cap","2744.8","X","Figure from international organizations",""
"FS","Suite of Food Security Indicators","268","Georgia","6126","Value","22013","Gross domestic product per capita, PPP, (constant 2017 international $)","2022","2022","Int$/cap","20612.2","X","Figure from international organizations",""
"FS","Suite of Food Security Indicators","276","Germany","6126","Value","22013","Gross domestic product per capita, PPP, (constant 2017 international $)","2022","2022","Int$/cap","62605.5","X","Figure from international organizations",""
"FS","Suite of Food Security Indicators","288","Ghana","6126","Value","22013","Gross domestic product per capita, PPP, (constant 2017 international $)","2022","2022","Int$/cap","6616.1","X","Figure from international organizations",""
"FS","Suite of Food Security Indicators","300","Greece","6126","Value","22013","Gross domestic product per capita, PPP, (constant 2017 international $)","2022","2022","Int$/cap","35328.8","X","Figure from international organizations",""
"FS","Suite of Food Security Indicators","308","Grenada","6126","Value","22013","Gross domestic product per capita, PPP, (constant 2017 international $)","2022","2022","Int$/cap","15136.3","X","Figure from international organizations",""
"FS","Suite of Food Security Indicators","320","Guatemala","6126","Value","22013","Gross domestic product per capita, PPP, (constant 2017 international $)","2022","2022","Int$/cap","12424.8","X","Figure from international organizations",""
"FS","Suite of Food Security Indicators","324","Guinea","6126","Value","22013","Gross domestic product per capita, PPP, (constant 2017 international $)","2022","2022","Int$/cap","3818.2","X","Figure from international organizations",""
"FS","Suite of Food Security Indicators","624","Guinea-Bissau","6126","Value","22013","Gross domestic product per capita, PPP, (constant 2017 international $)","2022","2022","Int$/cap","2192.4","X","Figure from international organizations",""
"FS","Suite of Food Security Indicators","328","Guyana","6126","Value","22013","Gross domestic product per capita, PPP, (constant 2017 international $)","2022","2022","Int$/cap","37667.8","X","Figure from international organizations",""
